Date,Open,High,Low,Close,Change (Pips),Change (%)
"Jun 27, 2018 4:00",1.16594,1.16603,1.16518,1.16543,-5.1,-0.04%
"Jun 27, 2018 3:00",1.16532,1.16644,1.16497,1.16596,6.4,0.0005
"Jun 27, 2018 2:00",1.16524,1.16579,1.16498,1.16527,0.3,0
"Jun 27, 2018 1:00",1.16547,1.16602,1.16497,1.16529,-1.8,-0.02%
"Jun 27, 2018 0:00",1.16498,1.1655,1.1644,1.16548,5,0.0004
"Jun 26, 2018 23:00",1.16501,1.16523,1.16484,1.16496,-0.5,0
"Jun 26, 2018 22:00",1.16466,1.16516,1.16461,1.16498,3.2,0.0003
"Jun 26, 2018 21:00",1.16459,1.16488,1.16451,1.16467,0.8,0.0001
"Jun 26, 2018 20:00",1.16442,1.16522,1.16417,1.16484,4.2,0.0004
"Jun 26, 2018 19:00",1.16509,1.16542,1.16362,1.16442,-6.7,-0.06%
"Jun 26, 2018 18:00",1.16417,1.16509,1.16411,1.16505,8.8,0.0008
"Jun 26, 2018 17:00",1.16578,1.16609,1.16346,1.16418,-16,-0.14%
"Jun 26, 2018 16:00",1.16751,1.16761,1.16554,1.16579,-17.2,-0.15%
"Jun 26, 2018 15:00",1.16662,1.16774,1.16646,1.16755,9.3,0.0008
"Jun 26, 2018 14:00",1.16648,1.16713,1.165,1.1666,1.2,0.0001
"Jun 26, 2018 13:00",1.16708,1.16743,1.166,1.16643,-6.5,-0.06%
"Jun 26, 2018 12:00",1.16737,1.16842,1.16679,1.16707,-3,-0.03%
"Jun 26, 2018 11:00",1.16695,1.16789,1.1664,1.16738,4.3,0.0004
"Jun 26, 2018 10:00",1.16602,1.16711,1.16562,1.167,9.8,0.0008
"Jun 26, 2018 9:00",1.16724,1.16768,1.16507,1.16599,-12.5,-0.11%
"Jun 26, 2018 8:00",1.16854,1.16881,1.16692,1.16724,-13,-0.11%
"Jun 26, 2018 7:00",1.16927,1.1702,1.16848,1.16857,-7,-0.06%
